TrialNumber	stim1	loc1	objmod1	stim2	loc2	action2	objmod2	stim3	loc3	action3	objmod3	stim4	loc4	action4	objmod4	stim5	loc5	action5	objmod5	stim6	loc6	action6	objmod6	ran	order	stimulus_1_onset	stimulus_1_offset	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time_key	response_2_time_global	stimulus_3_onset	stimulus_3_offset	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time_key	response_4_time_global	stimulus_5_onset	stimulus_5_offset	stimulus_6_onset	stimulus_6_offset	response_6	response_6_time_key	response_6_time_global	trial_end	response_3	response_3_time_key	response_3_time_global	response_5	response_5_time_key	response_5_time_global
1	0	0	4	7	1	False	7	1	0	False	1	1	0	True	1	2	0	False	2	6	1	True	6	1.0	0.0	213.38094	213.88084	216.44765	216.94775	b	219.59706	217.26709	219.49716	219.99727	222.54704	223.04715	x	225.96089	223.63097	225.61362	226.11368	228.66356	229.16365	x	232.5147	230.18475	--	--	--	--	--	--	--
2	5	1	5	4	1	True	0	5	1	True	1	1	0	True	1	3	0	False	7	4	1	False	0	1.0	1.0	232.74684	233.24696	235.81339	236.31342	x	239.1139	236.78389	238.86333	239.3634	241.91324	242.41333	x	245.19713	242.86713	244.96315	245.46324	248.02977	248.52985	b	251.4119	249.0819	--	--	--	--	--	--	--
3	0	0	4	5	1	True	5	5	1	True	5	6	1	False	2	6	1	True	2	5	1	False	1	1.0	2.0	252.11292	252.61308	255.1629	255.66301	x	258.54388	256.21387	258.2128	258.71295	261.26276	261.76285	b	264.66196	262.33197	264.31293	264.81284	267.37973	267.87982	b	270.5787	268.2487	--	--	--	--	--	--	--
4	2	0	2	2	0	True	2	0	0	False	4	6	1	False	2	4	1	False	0	7	1	False	7	1.0	3.0	271.49582	271.99594	274.54575	275.04578	x	277.67966	275.34964	277.61234	278.11246	280.66226	281.16238	b	284.02957	281.6996	283.72885	284.22897	286.77878	287.2789	b	290.1636	287.83356	--	--	--	--	--	--	--
5	7	1	7	3	0	True	7	2	0	True	2	2	0	True	6	7	1	True	7	3	0	True	7	1.0	4.0	290.86203	291.36212	293.91196	294.41205	x	297.16043	294.8304	296.96185	297.46225	300.01178	300.51187	x	303.1454	300.8154	303.0617	303.5618	306.11163	306.61172	x	309.1922	306.8622	97.91424	--	--	--	--	--	--
6	6	1	2	1	0	False	5	0	0	True	4	4	1	True	4	1	0	True	5	2	0	False	6	1.0	5.0	319.1784	319.67838	322.24454	322.74463	b	325.62918	323.29916	325.31113	325.81125	328.37772	328.87778	x	331.92923	329.59924	331.42764	331.92773	334.47754	334.9776	b	337.6413	335.31128	--	x	328.70816	326.3782	x	334.6962	332.36627
7	0	0	4	2	0	False	6	6	1	True	2	2	0	True	6	0	0	False	0	3	0	False	3	1.0	6.0	338.5442	339.04428	341.59406	342.09415	b	344.5291	342.1991	344.64398	345.14407	347.69394	348.19406	x	350.7249	348.39487	350.7605	351.26062	353.81046	354.31052	b	357.19424	354.86423	--	x	348.06113	345.7311	b	353.89386	351.56384
8	1	0	1	5	1	True	1	0	0	True	0	4	1	True	0	7	1	False	3	3	0	True	7	1.0	7.0	357.9103	358.41043	360.96017	361.46036	x	364.245	361.91495	364.0273	364.52734	367.09387	367.5938	x	370.27805	367.94803	370.14368	370.64365	373.19327	373.6934	x	376.5109	374.18088	--	x	367.25772	364.9277	b	373.2619	370.9319
9	0	0	4	0	0	True	4	2	0	False	2	4	1	False	4	6	1	False	2	5	1	False	5	1.0	8.0	377.27652	377.77664	380.34308	380.8432	x	383.5948	381.26477	383.393	383.8931	386.4596	386.9597	b	389.89468	387.56467	389.50952	390.0096	392.57608	393.0762	b	395.90863	393.5786	--	b	387.49454	385.16452	b	393.15686	390.82687
10	7	1	7	1	0	False	5	5	1	True	5	0	0	True	0	0	0	True	4	7	1	False	7	1.0	9.0	396.64264	397.14276	399.69257	400.19263	b	403.02472	400.69473	402.7425	403.24258	405.80905	406.30917	x	409.07748	406.74747	408.87573	409.37576	411.9255	412.42563	b	415.7726	413.44263	204.49538	x	406.39264	404.06265	x	411.9096	409.5796
11	2	0	6	5	1	False	1	1	0	True	1	3	0	False	7	4	1	False	0	3	0	False	7	1.0	10.0	420.49252	420.99243	423.54196	424.04205	b	427.19165	424.86163	426.5919	427.09198	429.64172	430.1418	b	432.8434	430.51343	432.70834	433.2085	435.7583	436.2584	b	438.92316	436.59314	--	x	430.72528	428.3953	b	435.9413	433.6113
12	7	1	7	3	0	True	7	2	0	True	2	6	1	True	6	2	0	True	6	4	1	False	0	1.0	11.0	439.85803	440.3582	442.90796	443.40808	x	446.12222	443.7922	445.95792	446.45798	449.02448	449.52457	x	452.1411	449.8111	452.07443	452.5745	455.14096	455.64108	b	458.12436	455.79434	--	x	449.3585	447.0285	x	455.17224	452.84222
13	3	0	7	4	1	False	4	5	1	True	1	1	0	True	1	3	0	False	3	7	1	True	3	1.0	12.0	459.22418	459.72433	462.2908	462.7909	b	465.52197	463.192	465.34113	465.84137	468.39105	468.89117	x	471.85794	469.52792	471.45764	471.95755	474.5071	475.00723	x	477.95905	475.62903	--	x	468.6911	466.3611	b	474.85602	472.526
14	3	0	7	1	0	False	1	3	0	False	3	4	1	False	4	5	1	True	5	2	0	False	2	1.0	13.0	478.59036	479.0905	481.64026	482.14038	b	485.0749	482.74493	484.6902	485.1903	487.7568	488.25696	b	491.1249	488.7949	490.80667	491.3068	493.8566	494.3568	b	496.98788	494.65787	--	b	488.0408	485.7108	x	494.03787	491.7079
15	0	0	0	2	0	False	6	1	0	False	5	0	0	True	0	7	1	False	7	6	1	True	2	1.0	14.0	497.97314	498.4733	501.02307	501.52322	b	504.24164	501.91162	504.07303	504.57315	507.13962	507.63974	x	510.4535	508.12354	510.1895	510.68964	513.23944	513.73956	x	516.3078	513.9778	305.026	b	507.2559	504.92587	b	513.38885	511.05887
16	6	1	2	7	1	True	3	7	1	True	3	2	0	True	2	3	0	True	7	4	1	False	4	1.0	15.0	523.30597	523.8061	526.37256	526.8727	x	529.77045	527.4404	529.4225	529.9226	532.4725	532.97253	x	535.6073	533.27734	535.52234	536.02246	538.5889	539.08905	b	541.6695	539.3395	--	x	532.6045	530.27454	x	538.51953	536.1895
